request_id,forecast_time,power_output_w,power_output_f0_w,power_output_f10_w,power_output_f25_w,power_output_f50_w,power_output_f75_w,power_output_f90_w,power_output_f100_w,system_temperature_c,nominal_output_efficiency,air_temperature_c,cloud_cover_total,cloud_cover_high,cloud_cover_medium,cloud_cover_low,system_radiation_global_wm2,system_radiation_direct_wm2,system_radiation_diffuse_wm2,radiation_global_wm2,radiation_direct_wm2,radiation_diffuse_wm2
4405,2020-10-11 13:00:00+03,2020.6,302.9,375.9,613.2,987.3,1830.4,2549.5,3159,14.83,0.883,11.6,99.9,99.2,79.3,56.1,114.22,9.68,104.31,110.72,17.29,104.19
4405,2020-10-11 14:00:00+03,5664.9,401.1,1314.6,2154.6,3090.4,4213.3,5626,6555.1,20.67,0.975,12.45,83.3,0.4,3.1,82.7,289.56,70.83,218.11,254.25,136.89,202.07
4405,2020-10-11 15:00:00+03,4742.5,304.3,1946.8,2641.7,4578.2,5143.5,5466.3,5684.2,20.09,0.962,13.2,91.2,50.9,1.2,81.2,247.08,44.22,202.31,230.69,102.13,194.81
4405,2020-10-11 16:00:00+03,3385.8,466.5,2027.6,2543,3276.5,4134.2,4502.9,4651.5,18.31,0.935,13.25,75.6,68.6,0,22.1,182.03,11.19,170.43,180.01,35.8,169.62
4405,2020-10-11 17:00:00+03,2527.9,1257.2,1643,1777.7,2033.8,2447.9,2589.2,2694,16.45,0.907,12.6,49.6,49.3,0,0.4,141.91,8.12,133.45,152.01,49.41,142.02
4405,2020-10-11 18:00:00+03,688.3,356,432.2,519.1,591.7,670.3,716.8,744.1,13.06,0.713,11.7,98.2,98.2,0,0,48.26,0,48.2,57.81,11.9,56.69
4405,2020-10-11 19:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8,NaN,10.8,96.9,96.9,0,0,NaN,NaN,NaN,1.74,0.04,1.74
4405,2020-10-11 20:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8,NaN,9.8,99.6,99.6,0,0,NaN,NaN,NaN,0,0,0
4405,2020-10-11 21:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9,NaN,8.9,99.7,99.7,0.1,0,NaN,NaN,NaN,0,0.02,0
4405,2020-10-11 22:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2,NaN,8.2,98.7,98.6,4.3,0.1,NaN,NaN,NaN,0,0,0
4405,2020-10-11 23:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.75,NaN,7.75,89.9,87.8,16.9,0,NaN,NaN,NaN,0,0,0
4405,2020-10-12 00:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4,NaN,7.4,76.5,70.9,12.5,7.4,NaN,NaN,NaN,0,0,0
4405,2020-10-12 01:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.95,NaN,6.95,71.6,37.3,2.1,53.6,NaN,NaN,NaN,0,0,0
4405,2020-10-12 02:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.75,NaN,6.75,77.2,10,0.2,74.6,NaN,NaN,NaN,0,0,0
4405,2020-10-12 03:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9,NaN,6.9,96.9,29.5,0,95.8,NaN,NaN,NaN,0,0,0
4405,2020-10-12 04:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2,NaN,7.2,100,54.2,0,100,NaN,NaN,NaN,0,0,0
4405,2020-10-12 05:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.55,NaN,7.55,100,99.4,41.9,100,NaN,NaN,NaN,0,0,0
