Date,Time,Room Temperature,Room Setpoint,Heating Demand,Heating Power,Cooling Demand,Cooling Power,Current Outside Temperature,Outside Temperature External,Current Solar Power,Solar Power External,Supply Air Temp
16/11/2020,18:14:04,20.617508,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.601881
16/11/2020,18:15:04,20.548210,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.585566
16/11/2020,18:16:04,20.482389,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.628029
16/11/2020,18:17:04,20.420002,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.626568
16/11/2020,18:18:04,20.360052,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.617002
16/11/2020,18:19:04,20.304321,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.583961
16/11/2020,18:20:04,20.252586,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.599628
16/11/2020,18:21:04,20.202915,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.612545
16/11/2020,18:22:04,20.156118,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.611395
16/11/2020,18:23:04,20.112055,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.628551
16/11/2020,18:24:04,20.069899,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.623316
16/11/2020,18:25:04,20.031464,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.547062
16/11/2020,18:26:04,19.995050,21.000000,20.646667,199.508118,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.540667
16/11/2020,18:27:04,19.967369,21.000000,28.439404,275.552826,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.551092
16/11/2020,18:28:04,19.943825,21.000000,36.371502,353.417816,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.620045
16/11/2020,18:29:04,19.924038,21.000000,44.546394,434.056641,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.685890
16/11/2020,18:30:04,19.908442,21.000000,52.667259,513.696838,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.591751
16/11/2020,18:31:04,19.896673,21.000000,60.703979,592.873535,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.605881
16/11/2020,18:34:05,19.908016,21.000000,84.647110,825.100586,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.531549
16/11/2020,18:35:05,19.908974,21.000000,92.567581,902.520508,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.586582
16/11/2020,18:36:05,19.912773,21.000000,100.000000,974.187256,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.559650
16/11/2020,18:37:05,19.917997,21.000000,100.000000,973.381042,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.550394
16/11/2020,18:38:06,19.923794,21.000000,100.000000,972.870605,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.569653
16/11/2020,18:39:06,19.929825,21.000000,100.000000,972.245422,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.590021
16/11/2020,18:40:06,19.936209,21.000000,100.000000,972.454834,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.682579
16/11/2020,18:41:06,19.942877,21.000000,100.000000,971.758301,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.655231
16/11/2020,18:42:05,19.949764,21.000000,100.000000,970.937134,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.617758
16/11/2020,18:43:05,19.956657,21.000000,100.000000,969.589417,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.537704
16/11/2020,18:44:05,19.963774,21.000000,100.000000,968.968018,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.587580
16/11/2020,18:45:05,19.971184,21.000000,100.000000,968.453613,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.621614
16/11/2020,18:46:05,19.978565,21.000000,100.000000,967.039307,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.550579
16/11/2020,18:47:05,19.986006,21.000000,100.000000,966.517456,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.597765
16/11/2020,18:48:06,19.993584,21.000000,100.000000,966.487122,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.666527
16/11/2020,18:49:06,19.999100,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.563646
16/11/2020,18:50:06,19.984531,21.000000,27.498245,265.854370,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.599194
16/11/2020,18:51:06,19.973276,21.000000,35.048233,339.344727,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.632143
16/11/2020,18:52:06,19.964851,21.000000,42.632221,413.586151,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.721760
16/11/2020,18:55:07,19.955137,21.000000,65.520973,636.211487,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.645094
16/11/2020,18:56:07,19.956833,21.000000,73.174995,708.782776,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.586344
16/11/2020,18:57:07,19.960667,21.000000,80.521431,780.538391,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.533442
16/11/2020,18:58:07,19.966717,21.000000,87.919044,852.505066,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.664875
16/11/2020,18:59:07,19.974915,21.000000,95.225311,922.434387,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.623623
16/11/2020,19:00:07,19.984966,21.000000,100.000000,968.251587,0.000000,0.000000,5.080000,5.090000,0.020000,0.000000,18.670748
16/11/2020,19:01:07,19.995455,21.000000,100.000000,966.477600,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.583216
16/11/2020,19:02:07,20.018515,21.000000,0.000000,0.000000,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.600298
16/11/2020,19:03:07,20.000217,21.000000,0.000000,0.000000,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.572752
16/11/2020,19:04:07,19.988684,21.000000,26.935368,260.577789,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.621321
16/11/2020,19:05:07,19.980255,21.000000,34.395859,333.110687,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.638767
16/11/2020,19:06:07,19.974318,21.000000,41.997475,407.234406,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.675014
16/11/2020,19:07:07,19.970867,21.000000,49.474026,478.430969,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.601030
16/11/2020,19:10:08,19.974054,21.000000,71.727478,695.020264,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.634125
16/11/2020,19:11:08,19.979416,21.000000,79.031227,765.147400,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.596029
16/11/2020,19:12:08,19.986849,21.000000,86.373459,835.594971,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.614843
16/11/2020,19:13:08,19.996115,21.000000,93.497467,904.170105,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.667562
16/11/2020,19:14:08,19.994179,21.000000,23.210449,224.456726,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.623863
16/11/2020,19:15:08,19.985445,21.000000,30.511433,295.242432,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.584131
16/11/2020,19:16:08,19.978971,21.000000,37.958961,367.442169,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.560268
16/11/2020,19:17:08,19.974836,21.000000,45.534996,441.060883,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.600449
16/11/2020,19:18:08,19.973145,21.000000,52.972633,513.551575,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.670881
16/11/2020,19:19:08,19.973709,21.000000,60.378864,585.153687,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.608801
16/11/2020,19:20:08,19.976393,21.000000,67.738632,656.686768,0.000000,0.000000,5.090000,5.090000,0.000000,0.000000,18.665758
